dataset,minsup,algorithm,run_type,run_id,campaign_id,group,status,patterns,mining_s,wall_s,external_mem_mb,log_path
D50C20T20N2.5S6I8,30%,BIDE+,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,25.119,25.119,12526.625106811523,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,BIDE+,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,25.188,25.188,12709.830223083496,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,BIDE+,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,24.439,24.439,8726.42953491211,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,BIDE+,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,25.181,25.181,8862.382461547852,logs_fig15/BIDE+_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,23.198,23.198,486.5935592651367,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,23.933,23.933,486.42601776123047,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,23.9,23.9,495.8986053466797,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,TriBack-Clo,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,23.662,23.662,486.6372299194336,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,53.385,53.385,10683.53042602539,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,55.198,55.198,10005.687767028809,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,56.751,56.751,1955.2598037719727,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloSpan,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,55.902,55.902,10039.01815032959,logs_fig15/CloSpan_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,,,9698.904495239258,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,,,20304.07568359375,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,,,4344.460952758789,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,CloFast,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,,,14181.037605285645,logs_fig15/CloFast_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,142.752,142.752,13624.34585571289,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,138.802,138.802,12049.470336914062,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,143.773,143.773,12229.104385375977,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,ClaSP,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,139.594,139.594,13089.827842712402,logs_fig15/ClaSP_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,warmup,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,24.814,24.814,13042.364234924316,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,measured,3,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,24.88,24.88,11879.784606933594,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,measured,2,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,24.594,24.594,12149.883651733398,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I6,30%,BIDE+,measured,1,20260129_132539,D50C20T20N2.5S6I6_0.3_group,OK,264,24.756,24.756,12353.925727844238,logs_fig15/BIDE+_D50C20T20N2.5S6I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I4,30%,TriBack-Clo,warmup,1,20260129_132539,D50C20T20N2.5S6I4_0.3_group,OK,320,28.33,28.33,507.77754974365234,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I4_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I4,30%,TriBack-Clo,measured,3,20260129_132539,D50C20T20N2.5S6I4_0.3_group,OK,320,28.343,28.343,519.4851684570312,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I4_0.3_run3_20260129_132539.log
